a 	a1
assume	mang, khoác, có, lấy
assure	đảm bảo, cam đoan
at	ở tại
atmosphere	khí quyển
atom	nguyên tử
attach	gắn, dán, trói, buộc
attached	gắn bó
attack	sự tấn công, tấn công, công kích
attempt	sự cố gắng, sự thử; cố gắng, thử
attempted	cố gắng, thử
attend	dự, có mặt
attention	sự chú ý
attitude	thái độ, quan điểm
attorney	người được ủy quyền
attract	hút; thu hút, hấp dẫn
attraction	sự hút, sức hút
attractive	hút, thu hút, có duyên, lôi cuốn
audience	thính, khan giả
August	tháng Tám
aunt	cô, dì
author	tác giả
authority	uy quyền, quyền lực
automatic	tự động
autumn	mùa thu (US: mùa thu là fall)
available	có thể dùng được, có giá trị, hiệu lực
average	trung bình, mức trung bình
avoid	tránh, tránh xa
awake	đánh thức, làm thức dậy
award	phần thưởng; tặng, thưởng
aware	biết, nhận thức, nhận thức thấy
away	xa, xa cách, rời xa, đi xa
awful	oai nghiêm, dễ sợ
awfully	tàn khốc, khủng khiếp
awkward	vụng về, lung túng
baby	đứa trẻ
back	lưng, về phía sau, trở lại
background	phía sau; nền
backward	về phía sau, lùi lại
backwards	phía sau, lùi lại
bacteria	vi khuẩn
bad	xấu, tồi
bad-tempered	xấu tính, dễ nổi cáu
badly	xấu, tồi
bag	bao, túi, cặp xách
baggage	hành lý
bake	nung, nướng bằng lò
balance	cái cân; làm cho cân bằng, tương xứng
ball	quả bóng
ban	cấm, cấm chỉ; sự cấm
band	băng, đai, nẹp
bandage	dải băng; băng bó
bank	bờ (sông…), đê
bar	quán bán rượu
bargain	sự mặc cả, sự giao kèo mua bán
barrier	đặt chướng ngại vật
base	cơ sở, nền móng; đặt cơ sở trên cái gì
based	dựa trên
basic	cơ bản, cơ sở
basically	cơ bản, về cơ bản
basis	nền tảng, cơ sở
bath	sự tắm
bathroom	buồng tắm, nhà vệ sinh
battery	pin, ắc quy
battle	trận đánh, chiến thuật
bay	gian (nhà), nhịp (cầu), chuồng (ngựa); 
be	thì, là, ở
beach	bãi biển
beak	mỏ chim
bear	mang, cầm, vác, đeo, ôm
beard	râu
beat	tiếng đập, sự đập; đánh đập, đấm
beautiful	đẹp
beautifully	tốt đẹp, đáng hài lòng
beauty	vẻ đẹp, cái đẹp; người đẹp
because	bởi vì, vì
become	trở thành, trở nên
bed	cái giường
bedroom	phòng ngủ
beef	thịt bò
beer	rượu bia
before	trước, đằng trước
begin	bắt đầu, khởi đầu
beginning	phần đầu, lúc khởi đầu
behalf	sự thay mặt
behaviour	thái độ, cách cư xử
behaviourally	có tư cách đạo đức
behind	sau, ở đằng sau
belief	lòng tin, đức tin, sự tin tưởng
believe	tin, tin tưởng
bell	cái chuông, tiếng chuông
belong	thuộc về, của, thuộc quyền sở hữu
below	ở dưới, dưới thấp, phía dưới
belt	dây lưng, thắt lưng
bend	chỗ uốn; khuỷu tay; uốn cong
beneath	ở dưới, dưới thấp
benefit	lợi, lợi ích; giúp ích, làm lợi cho
bent	khiếu, sở thích, khuynh hướng
beside	bên cạnh, so với
best	tốt nhất
bet	đánh cuộc, cá cược; sự đánh cuộc
better	tốt hơn, tốt nhất
betting	sự đánh cuộc
between	giữa, ở giữa
beyond	ở xa, phía bên kia
bicycle	xe đạp
bid	đặt giá, trả giá; sự đặt giá, sự trả giá
big	to, lớn
bike	xe đạp
bill	hóa đơn, giấy bạc
billion	tỉ
bin	thùng, thùng đựng rượu
biology	sinh vật học
bird	chim
birth	sự ra đời, sự sinh đẻ
birthday	ngày sinh, sinh nhật
biscuit	bánh quy
bit	miếng, mảnh
bite	cắn, ngoạm; sự cắn, sự ngoạm
bitter	đắng; đắng cay, chua xót
bitterly	đắng, đắng cay, chua xót
black	đen; màu đen
blade	lưỡi (dao, kiếm); lá (cỏ, cây)
blame	khiển trách, sự khiển trách
blank	trống, để trắng; sự trống rỗng
blind	đui, mù
block	khối, tảng (đá); làm ngăn cản
blonde	hoe vàng, mái tóc hoe vàng
blood	máu, huyết; sự tàn sát, chem giết
blow	nở hoa; sự nở hoa
blue	xanh, màu xanh
boat	tàu, thuyền
body	thân thể, thân xác
boil	sôi, luộc
bomb	quả bom; oánh bom, thả bom
bone	xương
book	sách; ghi chép
boot	giày ống
border	bờ, mép, vỉa, lề (đường)
bore	buồn chán, buồn tẻ
bored	buồn chán
boring	buồn chán
born	sinh, đẻ
borrow	vay, mượn
boss	ông chủ, thủ trưởng
both	cả hai
bother	làm phiền, quấy rầy, làm bực mình
bottle	chai, lọ
bottom	phần dưới cùng, thấp nhất; cuối cùng
bound	nhất định, chắc chắn
bowlful	chén đầy
box	hộp
boy	con trai, thiếu niên
boyfriend	bạn trai
brain	óc não; đầu óc, trí não
branch	nhành cây, nhánh song, ngả đường
brand	nhãn (hàng hóa)
brave	gan dạ, can đảm
bread	bánh mỳ
break	bẻ gãy, đập vỡ; sự gãy, sự vỡ
breakfast	bữa điểm tâm, bữa sáng
breast	ngực, vú
breath	hơi thở, hơi
breathe	hít, thở
breathing	sự hô hấp, sự thở
breed	nuôi dưỡng, chăm sóc; sinh đẻ
brick	gạch
bridge	cái cầu
brief	ngắn, gọn, vắn tắt
briefly	ngắn, gọn, vắn tắt, tóm tắt
bright	sáng, sáng chói
brilliant	tỏa sáng, rực rỡ, chói lọi
bring	mang, cầm, xách lại
broad	rộng
broadcast	truyền rộng rãi; phát thanh, quảng bá
broadly	rộng, rộng rãi
broken	bị gãy, bị vỡ
brother	anh, em trai
brown	nâu, màu nâu
brush	bàn chải; chải, quét
bubble	bong bóng, bọt, tăm
budget	ngân sách
build	xây dựng
building	công trình xây dựng; tòa nhà
bullet	đạn (súng trường, súng lục)
bunch	búi, chùm, bó, cụm, buồng; bầy
burn	đốt, đốt cháy, thắp, nung, thiêu
burnt	bị cháy, khê; rám nắng, sạm (da)
burst	nổ, (bom); nổ, vỡ (bong bóng)
bury	chôn cất, mai táng
bus	xe buýt
bush	bụi cây, bụi rậm
business	thương mại, kinh doanh
businessman	thương nhân
busy	bận, bận rộn
but	nhưng
butter	bơ
button	cái nút, cái khuy, cúc
buy	mua
buyer	người mua
by	bởi, bằng
bye	tạm biệt
cabinet	tủ có nhiều ngăn đựng đồ
cable	dây cáp
cake	bánh ngọt
calculate	tính toán
calculation	sự tính toán
call	gọi; tiếng kêu, tiếng gọi
called	được nhắc đến
calm	yên lặng; sự yên lặng, sự êm ả
camera	máy ảnh
camp	trại, chỗ cắm trại; cắm trại, hạ trại
campaign	chiến dịch, cuộc vận động
camping	sự cắm trại
can	có thể; nhà tù, bình, ca đựng
cancel	hủy bỏ, xóa bỏ
cancer	bệnh ung thư
candidate	người ứng cử, thí sinh, người dự thi
candy	kẹo
cannot	không thể
cap	mũ lưỡi trai, mũ vải
capable	có tài; có khả năng, cả gan
capacity	năng lực, năng suất
capital	thủ đô, chủ yếu, chính yếu
captain	người cầm đầu, người chỉ huy
capture	bắt giữ, bắt; sự bắt giữ, sự bị bắt
car	xe hơi
card	thẻ, thiếp
cardboard	bìa cứng, các tông
care	sự chăm sóc, chăm nom; chăm sóc
career	nghề nghiệp, sự nghiệp
careful	cẩn thận, cẩn trọng, biết giữ gìn
careless	sơ suất, cầu thả
carpet	tấm thảm, thảm (cỏ)
carrot	củ cà rốt
carry	mang, vác, khuân chở
case	vỏ, ngăn, túi 
cash	tiền, tiền mặt
cast	quăng, ném, thả, sự quăng
castle	thành trì, thành quách
cat	con mèo
catch	bắt lấy, nắm lấy, tóm lấy, chộp lấy
category	hạng, loại; phạm trù
cause	nguyên nhân; gây ra, gây nên
CD	đĩa compact
cease	dừng, ngừng, ngớt, thôi, hết, tạnh
ceiling	trần nhà
celebrate	kỷ niệm; tán dương, ca tụng
celebration	lễ kỷ niệm; sự tán dương, sự ca tụng
cell	ô, ngăn
cell-phone	điện thoại di động
cent	đồng xu (=1/100 đô la)
centimetre	xen ti mét
central	trung tâm, ở giữa, trung ương
centre	điểm giữa, trung tâm, trung ương
century	thế kỷ
ceremony	nghi thức, nghi lễ
certain	chắc chắn
certainly	chắc chắn, nhất định
certificate	giấy chứng nhận, bằng, chứng chỉ
chain	dây, xích; xính lại, trói lại
chair	ghế
chairman	chủ tịch, chủ tọa nam
chairwoman	chủ tịch, chủ tọa nữ
challenge	sự thử thách; thách thức
challenging	kích thích
chamber	buồng, phòng, buồng ngủ
chance	sự may mắn
change	thay đổi, sự thay đổi, sự biến đổi
channel	kênh (TV, radio), eo biển
chapter	chương (sách)
character	tính cách, đặc tính, nhân vật
characteristic	riêng biệt, đặc trưng, đặc tính
charge	trách nhiệm; giao nhiệm vụ, giao việc
charity	lòng từ thiện, lòng nhân đức; sự bố thí
chart	đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase	săn bắt; sự săn bắt
chat	nói chuyện; chuyện phiếm, chuyện gẫu
cheap	rẻ
cheaply	rẻ, rẻ tiền
cheat	lừa, lừa đảo; trò lừa đảo, trò gian lận
check	kiểm tra; sự kiểm tra
cheek	má
cheerful	vui mừng, phấn khởi, hồ hởi
cheese	pho mát
chemical	thuộc hóa học; chất hóa học, hóa chất
chemist	nhà hóa học
chemistry	hóa học, môn hóa học, ngành hóa học
cheque	séc
chest	tủ, rương, hòm
chew	nhai, ngẫm nghĩ
chicken	gà, gà con, thịt gà
chief	trọng yếu; thủ lĩnh, người đứng đầu
child	đứa bé, đứa trẻ
chin	cằm
chip	vỏ bào, mảnh vỡ, chỗ sứt, mẻ
chocolate	sô cô la
choice	sự lựa chọn
choose	chọn, lựa chọn
chop	chặt, đốn, chẻ
church	nhà thờ
cigarette	điếu thuốc lá
cinema	rạp xi nê, rạp chiếu bóng
circle	đường tròn, hình tròn
circumstance	hoàn cảnh, trường hợp, tình huống
citizen	người thành thị
city	thành phố
civil	thuộc) công dân
claim	yêu sách; sự đòi hỏi, sự yêu sách
clap	vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
class	lớp học
classic	cổ điển, kinh điển
classroom	lớp học, phòng học
clean	sạch, sạch sẽ; 
clear	lau chùi, quét dọn
clearly	rõ ràng, sáng sủa
clerk	thư ký, linh mục, mục sư
clever	lanh lợi, thông minh. tài giỏi, khéo léo 
click	làm thành tiếng lách cách; cú nhắp (chuột)
client	khách hàng
climate	khí hậu, thời tiết
climb	leo, trèo
climbing	sự leo trèo
clock	đồng hồ
close	đóng, khép, kết thúc, chấm dứt
closed	bảo thủ, không cởi mở, khép kín
closet	buồng, phòng để đồ, phòng kho
cloth	vải, khăn trải bàn, áo thầy tu
clothes	quần áo
clothing	quần áo, y phục
cloud	mây, đám mây
club	câu lạc bộ; gậy, dùi cui
coach	huấn luyện viên
coal	than đá
coast	sự lao dốc; bờ biển
coat	áo choàng
code	mật mã, luật, điều lệ
coffee	cà phê
coin	tiền kim loại
cold	lạnh, sự lạnh lẽo, lạnh nhạt
coldly	lạnh nhạt, hờ hững, vô tâm
collapse	đổ, sụp đổ; sự đổ nát, sự sụp đổ
colleague	bạn đồng nghiệp
collect	sưu tập, tập trung lại
collection	sự sưu tập, sự tụ họp
college	trường cao đẳng, trường đại học
colour	màu sắc; tô màu
coloured	mang màu sắc, có màu sắc
column	cột, mục (báo)
combination	sự kết hợp, sự phối hợp
combine	kết hợp, phối hợp
come	đến, tới, đi đến, đi tới
comedy	hài kịch
comfort	sự an ủi, lời động viên; dỗ dành, an ủi
comfortable	thoải mái, tiện nghi, đầy đủ
comfortably	dễ chịu, thoải mái, tiện nghi, ấm cúng
command	chỉ huy; lệnh, mệnh lệnh
comment	lời chú giải; bình luận, phê bình
commercial	buôn bán, thương mại
commission	hội đồng, ủy ban; ủy nhiệm, ủy thác
commit	giao, gửi, ủy thác; tống giam, bỏ tù
commitment	sự phạm tội, sự tận tụy, tận tâm
committee	ủy ban
common	công cộng, thông thường, phổ biến
commonly	thông thường, bình thường
communicate	truyền, truyền đạt; giao thiệp, liên lạc
communication	sự giao tiếp, sự truyền đạt, truyền tin
community	dân chúng, nhân dân
company	công ty
compare	so sánh, đối chiếu
comparison	sự so sánh
compete	đua tranh, ganh đua, cạnh tranh
competition	sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive	cạnh tranh, đua tranh
complain	phàn nàn, kêu ca
complaint	lời than phiền; sự khiếu nại, đơn kiện
complete	hoàn thành, xong; 
completely	hoàn thành, đầy đủ, trọn vẹn
complex	phức tạp, rắc rối
complicate	làm phức tạp, rắc rối
complicated	phức tạp, rắc rối
computer	máy tính
concentrate	tập trung
concentration	sự tập trung, nơi tập trung
concept	khái niệm
concern	dính líu tới; sự liên quan
concerned	có liên quan, có dính líu
concerning	bâng khuâng, ái ngại
concert	buổi hòa nhạc
conclude	kết thúc, chấm dứt (công việc)
conclusion	sự kết luận, phần kết luận
concrete	bằng bê tông; bê tông
condition	điều kiện, tình cảnh, tình thế
conduct	chỉ huy; sự điều khiển, chỉ huy
conference	hội nghị, sự bàn bạc 
confidence	lòng tin tưởng, sự tin cậy
confident	tin tưởng, tin cậy, tự tin
confine	giam giữ, hạn chế
confined	hạn chế, giới hạn
confirm	xác nhận, chứng thực
conflict	xung đột; sự xung đột, sự va chạm
confront	đối mặt, đối diện, đối chiếu
confuse	làm lộn xộn, xáo trộn
confused	bối rối, lúng túng, ngượng
confusing	khó hiểu, gây bối rối
confusion	sự lộn xộn, sự rối loạn
congratulate	khen ngợi, chúc mừng
congratulation	sự chúc mừng; lời chúc mừng
congress	đại hội, hội nghị, Quốc hội
connect	kết nối, nối
connected	có quan hệ họ hàng
connection	sự kết nối, sự giao kết
conscious	tỉnh táo, có ý thức, biết rõ
consequence	kết quả, hậu quả
conservative	thận trọng, dè dặt, bảo thủ
consider	xem xét; để ý, quan tâm, lưu ý đến
considerable	lớn lao, to tát, đáng kể
considerably	đáng kể, lớn lao, nhiều
consideration	sự xem xét, sự để ý, sự quan tâm
consist	gồm có
constant	kiên trì, bền lòng
constantly	kiên định
construct	xây dựng
construction	sự xây dựng
consult	tra cứu, tham khảo, thăm dò, hỏi ý kiến
consumer	người tiêu dùng
contact	sự liên lạc, sự giao thiệp; tiếp xúc
contain	bao hàm, chứa đựng, bao gồm
container	cái đựng, chứa; công te nơ
contemporary	đương thời, đương đại
content	nội dung, sự hài lòng
contest	trận đấu, cuộc tranh luận, chiến tranh
context	văn cảnh, khung cảnh, phạm vi
continent	lục địa, đại lục (lục địa Bắc Mỹ)
continue	tiếp tục, làm tiếp
continuous	liên tục, liên tiếp
contract	hợp đồng, sự ký hợp đồng; ký kết
contrast	sự tương phản; làm tương phản
contrasting	tương phản
contribute	đóng góp, ghóp phần
contribution	sự đóng góp, sự góp phần
control	quyền hành, quyền lực, quyền chỉ huy
controlled	được điều khiển, được kiểm tra
convenient	tiện lợi, thuận lợi, thích hợp
convention	hội nghị, hiệp định, quy ước
conventional	quy ước
conversation	cuộc đàm thoại, cuộc trò chuyện
convert	đổi, biến đổi
convince	thuyết phục; làm cho nhận thức thấy
cook	nấu ăn, người nấu ăn
cooker	lò, bếp, nồi nấu
cookie	bánh quy
cooking	sự nấu ăn, cách nấu ăn
cool	mát mẻ, điềm tĩnh; làm mát,
cope	đối phó, đương đầu
copy	bản sao; sự sao chép; sao chép
core	nòng cốt, hạt nhân; đáy lòng
corner	góc (tường, nhà, phố...)
correct	đúng, chính xác; sửa, sửa chữa
cost	giá, chi phí; trả giá, phải trả
cottage	nhà tranh
cotton	bông, chỉ, sợi
cough	ho, sự ho, tiếng hoa
coughing	ho
could	có thể, có khả năng
council	hội đồng
count	đếm, tính
counter	quầy hàng, quầy thu tiền, máy đếm
country	nước, quốc gia, đất nước
countryside	miền quê, miền nông thôn
county	hạt, tỉnh
couple	đôi, cặp; đôi vợ chồng, cặp nam nữ
courage	sự can đảm, sự dũng cảm, dũng khí
course	quá trình diễn tiến; sân chạy đua
court	tòa án, quan tòa, phiên tòa
cousin	anh em họ
cover	bao bọc, che phủ; vỏ, vỏ bọc
covered	có mái che, kín đáo
covering	sự bao bọc, sự che phủ, cái bao, bọc
cow	con bò cái
crack	xuất sắc; làm nứt, nứt nẻ, rạn nứt
cracked	rạn, nứt
craft	nghề, nghề thủ công
crash	vải thô; sự rơi (máy bay), sự sụp đổ
crazy	điên, mất trí
cream	kem
create	sáng tạo, tạo nên
creature	sinh vật, loài vật
credit	lòng tin, danh tiếng; tiền gửi ngân hàng
credit-card	thẻ tín dụng
crime	tội, tội ác, tội phạm
criminal	có tội, phạm tội; kẻ phạm tội, tội phạm
crisis	sự khủng hoảng, cơn khủng hoảng
crisp	giòn
criterion	tiêu chuẩn
critical	phê bình, phê phán; khó tính
criticism	sự phê bình, lời phê bình
criticize	phê bình, phê phán, chỉ trích
crop	vụ mùa
cross	nỗi thống khổ; sự băng qua; băng qua, vượt qua
crowd	đám đông
crowded	đông đúc
crown	vương miện, vua, ngai vàng; đỉnh cao nhất
crucial	quyết định, cốt yếu, chủ yếu
cruel	độc ác, dữ tợn, tàn nhẫn
crush	ép, vắt, đè nát, đè bẹp
cry	khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
cultural	(thuộc) văn hóa
culture	văn hóa, sự mở mang, sự giáo dục
cupboard	1 loại tủ có ngăn
cup	tách, chén
curb	kiềm chế, nén lại, hạn chế
cure	điều trị; cách chữa bệnh, cách điều trị; thuốc
curious	ham muốn, tò mò, lạ lùng
curl	xoắn, uốn quăn, làm xoắn; sự uốn quăn 
curly	quăn, xoắn
current	hiện hành, hiện nay; dòng (nước), luống (gió)
currently	hiện thời, hiện nay
curtain	màn (cửa, rạp hát, khói, sương)
curve	đường vòng; cong, uốn cong, bẻ cong
curved	cong
custom	phong tục, tục lệ, thói quen, tập quán
customer	khách hàng
customs	thuế nhập khẩu, hải quan
cut	cắt, chặt; sự cắt
cycle	chu kỳ; quay vòng theo chu kỳ, đi xe đạp
cycling	sự đi xe đạp
dad	bố, cha
daily	hàng ngày
damage	sự thiệt hại; làm hư hại, gây thiệt hại
damp	ẩm, ẩm ướt, ẩm thấp
dance	sự khiêu vũ; nhảy múa, khiêu vũ
dancer	diễn viên múa, người nhảy múa
dancing	sự nhảy múa, sự khiêu vũ
danger	sự nguy hiểm ; nguy cơ, mối đe dọa
dangerous	nguy hiểm
dare	dám, dám đương đầu với; thách
dark	tối, tối tăm; bóng tối, ám muội
data	ố liệu, dữ liệu
date	kỳ hạn, thời kỳ, thời đại
daughter	con gái
day	ngày, ban ngày
dead	chết, tắt
deaf	điếc, làm thinh, làm ngơ
deal	phân phát; sự giao dịch, thỏa thuận mua bán
dear	thân, thân yêu, thân mến; kính thưa, thưa
death	sự chết, cái chết
debate	cuộc tranh luận; tranh luận, bàn cãi
debt	nợ
decade	thập kỷ, bộ mười, nhóm mười
decay	tình trạng suy tàn, tình trạng đổ nát
December	tháng mười hai, tháng Chạp
decide	quyết định, giải quyết, phân xử
decision	sự quyết định, sự giải quyết, sự phân xử
declare	tuyên bố, công bố
decline	sự suy tàn, sự suy sụp; suy sụp, suy tàn
decorate	trang hoàng, trang trí
decoration	sự trang hoàng, đồ trang hoàng, trang trí
decorative	để trang hoàng, để trang trí, để làm cảnh
decrease	giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep	sâu, khó lường, bí ẩn
deeply	sâu, sâu xa, sâu sắc
defeat	đánh thắng; sự thất bại (1 kế hoạch)
defence	sự che chở
defend	che chở, bảo vệ, bào chữa
define	định nghĩa
definite	xác định, định rõ, rõ ràng
definitely	rạch ròi, dứt khoát
definition	sự định nghĩa, lời định nghĩa
degree	mức độ, trình độ; bằng cấp; độ
delay	sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate	thận trọng
deliberately	một cách thận trọng
delicate	thanh nhã, thanh tú, tế nhị, khó xử
delight	sự vui sướng, điều thích thú; làm vui thích
delighted	vui mừng, hài lòng
deliver	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phối, sự giao hàng; sự bày tỏ
demand	sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate	chứng minh, giải thích; bày tỏ, biểu lộ
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
department	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure	sự khởi hành
depend	phụ thuộc; dựa vào, ỷ vào
deposit	vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress	làm phiền muộn; làm suy giảm
depressed	thất vọng, phiền muộn; suy yếu, đình trệ
depressing	làm chán nản làm thát vọng, làm trì trệ
depth	chiều sâu, độ dày
derive	lấy được từ; bắt nguồn, chuyển hóa từ (from)
